incurred_year_month,plan_type,claim_type,plan_paid
01/31/2024,HMO,IP,20351216.44
01/31/2024,HMO,Non-IP,30526824.66
01/31/2024,PPO,IP,14557014.39
01/31/2024,PPO,Non-IP,21835521.59
02/29/2024,HMO,IP,20212088.08
02/29/2024,HMO,Non-IP,30318132.12
02/29/2024,PPO,IP,14458063.19
02/29/2024,PPO,Non-IP,21687094.79
03/31/2024,HMO,IP,20133312.70
03/31/2024,HMO,Non-IP,30199969.05
03/31/2024,PPO,IP,14401327.86
03/31/2024,PPO,Non-IP,21601991.79
04/30/2024,HMO,IP,19195392.53
04/30/2024,HMO,Non-IP,28793088.80
04/30/2024,PPO,IP,13730405.00
04/30/2024,PPO,Non-IP,20595607.49
05/31/2024,HMO,IP,19218796.01
05/31/2024,HMO,Non-IP,28828194.01
05/31/2024,PPO,IP,13747495.90
05/31/2024,PPO,Non-IP,20621243.85
06/30/2024,HMO,IP,18616341.90
06/30/2024,HMO,Non-IP,27924512.84
06/30/2024,PPO,IP,13316305.87
06/30/2024,PPO,Non-IP,19974458.81
07/31/2024,HMO,IP,18355519.35
07/31/2024,HMO,Non-IP,27533279.03
07/31/2024,PPO,IP,13129939.76
07/31/2024,PPO,Non-IP,19694909.64
08/31/2024,HMO,IP,18184415.15
08/31/2024,HMO,Non-IP,27276622.73
08/31/2024,PPO,IP,13007637.52
08/31/2024,PPO,Non-IP,19511456.28
09/30/2024,HMO,IP,19367729.43
09/30/2024,HMO,Non-IP,29051594.14
09/30/2024,PPO,IP,13853877.61
09/30/2024,PPO,Non-IP,20780816.42
10/31/2024,HMO,IP,19743787.57
10/31/2024,HMO,Non-IP,29615681.36
10/31/2024,PPO,IP,14122961.10
10/31/2024,PPO,Non-IP,21184441.65
11/30/2024,HMO,IP,21572805.55
11/30/2024,HMO,Non-IP,32359208.32
11/30/2024,PPO,IP,15431137.55
11/30/2024,PPO,Non-IP,23146706.33
12/31/2024,HMO,IP,21951078.76
12/31/2024,HMO,Non-IP,32926618.14
12/31/2024,PPO,IP,15701581.01
12/31/2024,PPO,Non-IP,23552371.52
01/31/2025,HMO,IP,21766028.11
01/31/2025,HMO,Non-IP,32649042.17
01/31/2025,PPO,IP,15569363.59
01/31/2025,PPO,Non-IP,23354045.38
02/28/2025,HMO,IP,21905179.49
02/28/2025,HMO,Non-IP,32857769.24
02/28/2025,PPO,IP,15669014.43
02/28/2025,PPO,Non-IP,23503521.64
03/31/2025,HMO,IP,20967015.26
03/31/2025,HMO,Non-IP,31429223.73
03/31/2025,PPO,IP,14903832.87
03/31/2025,PPO,Non-IP,22318258.12
04/30/2025,HMO,IP,19561204.28
04/30/2025,HMO,Non-IP,31439480.96
04/30/2025,PPO,IP,14599694.10
04/30/2025,PPO,Non-IP,22470910.98
05/31/2025,HMO,IP,19265888.43
05/31/2025,HMO,Non-IP,29307534.99
05/31/2025,PPO,IP,13211363.72
05/31/2025,PPO,Non-IP,20748747.60
06/30/2025,HMO,IP,18406999.60
06/30/2025,HMO,Non-IP,28643522.38
06/30/2025,PPO,IP,12242317.66
06/30/2025,PPO,Non-IP,20278582.18
07/31/2025,HMO,IP,19136812.67
07/31/2025,HMO,Non-IP,28383425.46
07/31/2025,PPO,IP,13543117.70
07/31/2025,PPO,Non-IP,20448398.92
08/31/2025,HMO,IP,18456336.04
08/31/2025,HMO,Non-IP,28351255.52
08/31/2025,PPO,IP,10458735.59
08/31/2025,PPO,Non-IP,20193032.68
09/30/2025,HMO,IP,16527959.43
09/30/2025,HMO,Non-IP,28467869.08
09/30/2025,PPO,IP,10735989.46
09/30/2025,PPO,Non-IP,19865460.43
10/31/2025,HMO,IP,14776733.14
10/31/2025,HMO,Non-IP,25742392.09
10/31/2025,PPO,IP,10108637.60
10/31/2025,PPO,Non-IP,18920271.86
11/30/2025,HMO,IP,8921756.05
11/30/2025,HMO,Non-IP,20630404.50
11/30/2025,PPO,IP,5621332.45
11/30/2025,PPO,Non-IP,11976281.05
12/31/2025,HMO,IP,631825.96
12/31/2025,HMO,Non-IP,1867670.74
12/31/2025,PPO,IP,315527.59
12/31/2025,PPO,Non-IP,1244831.22
