incurred_year_month,plan_type,claim_type,plan_paid
01/31/2024,HMO,IP,20351216.44
01/31/2024,HMO,Non-IP,30526824.66
01/31/2024,PPO,IP,14557014.39
01/31/2024,PPO,Non-IP,21835521.59
02/29/2024,HMO,IP,20212088.08
02/29/2024,HMO,Non-IP,30318132.12
02/29/2024,PPO,IP,14458063.19
02/29/2024,PPO,Non-IP,21687094.79
03/31/2024,HMO,IP,20133312.70
03/31/2024,HMO,Non-IP,30199969.05
03/31/2024,PPO,IP,14401327.86
03/31/2024,PPO,Non-IP,21601991.79
04/30/2024,HMO,IP,19195392.53
04/30/2024,HMO,Non-IP,28793088.80
04/30/2024,PPO,IP,13730405.00
04/30/2024,PPO,Non-IP,20595607.49
05/31/2024,HMO,IP,19218796.01
05/31/2024,HMO,Non-IP,28828194.01
05/31/2024,PPO,IP,13747495.90
05/31/2024,PPO,Non-IP,20621243.85
06/30/2024,HMO,IP,18616341.90
06/30/2024,HMO,Non-IP,27924512.84
06/30/2024,PPO,IP,13316305.87
06/30/2024,PPO,Non-IP,19974458.81
07/31/2024,HMO,IP,18355519.35
07/31/2024,HMO,Non-IP,27533279.03
07/31/2024,PPO,IP,13129939.76
07/31/2024,PPO,Non-IP,19694909.64
08/31/2024,HMO,IP,18184415.15
08/31/2024,HMO,Non-IP,27276622.73
08/31/2024,PPO,IP,13007637.52
08/31/2024,PPO,Non-IP,19511456.28
09/30/2024,HMO,IP,19367729.43
09/30/2024,HMO,Non-IP,29051594.14
09/30/2024,PPO,IP,13853877.61
09/30/2024,PPO,Non-IP,20780816.42
10/31/2024,HMO,IP,19743787.57
10/31/2024,HMO,Non-IP,29615681.36
10/31/2024,PPO,IP,14122961.10
10/31/2024,PPO,Non-IP,21184441.65
11/30/2024,HMO,IP,21572805.55
11/30/2024,HMO,Non-IP,32359208.32
11/30/2024,PPO,IP,15431137.55
11/30/2024,PPO,Non-IP,23146706.33
12/31/2024,HMO,IP,21951078.76
12/31/2024,HMO,Non-IP,32926618.14
12/31/2024,PPO,IP,15701581.01
12/31/2024,PPO,Non-IP,23552371.52
01/31/2025,HMO,IP,21766028.11
01/31/2025,HMO,Non-IP,32649042.17
01/31/2025,PPO,IP,15569363.59
01/31/2025,PPO,Non-IP,23354045.38
02/28/2025,HMO,IP,21712376.78
02/28/2025,HMO,Non-IP,32585066.86
02/28/2025,PPO,IP,15467572.31
02/28/2025,PPO,Non-IP,23272996.89
03/31/2025,HMO,IP,20876987.57
03/31/2025,HMO,Non-IP,31317434.58
03/31/2025,PPO,IP,14729040.53
03/31/2025,PPO,Non-IP,22213212.55
04/30/2025,HMO,IP,19103496.17
04/30/2025,HMO,Non-IP,30848601.79
04/30/2025,PPO,IP,14487718.48
04/30/2025,PPO,Non-IP,22359402.84
05/31/2025,HMO,IP,19037160.40
05/31/2025,HMO,Non-IP,28920376.75
05/31/2025,PPO,IP,12513596.39
05/31/2025,PPO,Non-IP,20482863.01
06/30/2025,HMO,IP,17672700.72
06/30/2025,HMO,Non-IP,28551368.29
06/30/2025,PPO,IP,11508008.68
06/30/2025,PPO,Non-IP,19676361.40
07/31/2025,HMO,IP,18725585.95
07/31/2025,HMO,Non-IP,27531231.01
07/31/2025,PPO,IP,13102862.69
07/31/2025,PPO,Non-IP,19983771.07
08/31/2025,HMO,IP,16300173.73
08/31/2025,HMO,Non-IP,27675930.10
08/31/2025,PPO,IP,8860978.38
08/31/2025,PPO,Non-IP,18594101.77
09/30/2025,HMO,IP,12982264.37
09/30/2025,HMO,Non-IP,27104169.86
09/30/2025,PPO,IP,8622164.60
09/30/2025,PPO,Non-IP,18289990.30
10/31/2025,HMO,IP,9809556.05
10/31/2025,HMO,Non-IP,22067962.45
10/31/2025,PPO,IP,6888258.20
10/31/2025,PPO,Non-IP,14551390.99
11/30/2025,HMO,IP,666458.70
11/30/2025,HMO,Non-IP,1879648.60
11/30/2025,PPO,IP,156851.50
11/30/2025,PPO,Non-IP,2045058.68
